unitid,year,ftpt,fips,retention_rate,returning_students,prev_cohort,prev_exclusions,prev_cohort_adj
106342,2017,99,5,0.62,123.0,200.0,0.0,200.0
106351,2017,1,5,0.5,3.0,6.0,0.0,6.0
106351,2017,2,5,,,,,
106351,2017,99,5,0.5,3.0,6.0,0.0,6.0
106360,2017,1,5,0.44,4.0,9.0,0.0,9.0
106360,2017,2,5,,,,,
106360,2017,99,5,0.44,4.0,9.0,0.0,9.0
106397,2017,1,5,0.82,4058.0,4938.0,2.0,4936.0
106397,2017,2,5,0.62,18.0,29.0,0.0,29.0
106397,2017,99,5,0.82,4076.0,4967.0,2.0,4965.0
106412,2017,1,5,0.71,540.0,763.0,0.0,763.0
106412,2017,2,5,0.22,2.0,9.0,0.0,9.0
106412,2017,99,5,0.7,542.0,772.0,0.0,772.0
106449,2017,1,5,0.56,315.0,565.0,0.0,565.0
106449,2017,2,5,0.49,22.0,45.0,0.0,45.0
106449,2017,99,5,0.55,337.0,610.0,0.0,610.0
106458,2017,1,5,0.73,1172.0,1609.0,0.0,1609.0
106458,2017,2,5,0.26,9.0,35.0,0.0,35.0
106458,2017,99,5,0.72,1181.0,1644.0,0.0,1644.0
106467,2017,1,5,0.72,1107.0,1548.0,0.0,1548.0
106467,2017,2,5,0.43,9.0,21.0,0.0,21.0
106467,2017,99,5,0.71,1116.0,1569.0,0.0,1569.0
106485,2017,1,5,0.52,176.0,337.0,0.0,337.0
106485,2017,2,5,0.4,2.0,5.0,0.0,5.0
106485,2017,99,5,0.52,178.0,342.0,0.0,342.0
106494,2017,1,5,0.58,11.0,19.0,0.0,19.0
106494,2017,2,5,,,,,
106494,2017,99,5,0.58,11.0,19.0,0.0,19.0
106546,2017,1,5,0.58,7.0,12.0,0.0,12.0
106546,2017,2,5,,,,,
106546,2017,99,5,0.58,7.0,12.0,0.0,12.0
106625,2017,1,5,0.54,175.0,327.0,0.0,327.0
106625,2017,2,5,0.4,20.0,50.0,0.0,50.0
106625,2017,99,5,0.52,195.0,377.0,0.0,377.0
106704,2017,1,5,0.72,1347.0,1867.0,0.0,1867.0
106704,2017,2,5,0.62,8.0,13.0,0.0,13.0
106704,2017,99,5,0.72,1355.0,1880.0,0.0,1880.0
106713,2017,1,5,0.64,80.0,125.0,0.0,125.0
106713,2017,2,5,,0.0,0.0,0.0,0.0
106713,2017,99,5,0.64,80.0,125.0,0.0,125.0
106795,2017,1,5,0.61,125.0,205.0,0.0,205.0
106795,2017,2,5,0.33,22.0,66.0,0.0,66.0
106795,2017,99,5,0.54,147.0,271.0,0.0,271.0
106810,2017,1,5,0.68,39.0,57.0,0.0,57.0
106810,2017,2,5,,,,,
106810,2017,99,5,0.68,39.0,57.0,0.0,57.0
106829,2017,1,5,0.45,21.0,47.0,0.0,47.0
106829,2017,2,5,0.67,8.0,12.0,0.0,12.0
106829,2017,99,5,0.49,29.0,59.0,0.0,59.0
106883,2017,1,5,0.55,105.0,191.0,0.0,191.0
106883,2017,2,5,0.48,11.0,23.0,0.0,23.0
106883,2017,99,5,0.54,116.0,214.0,0.0,214.0
106892,2017,1,5,,,,,
106892,2017,2,5,,,,,
106892,2017,99,5,,0.0,0.0,0.0,0.0
106908,2017,1,5,0.75,33.0,44.0,0.0,44.0
106908,2017,2,5,0.7,14.0,20.0,0.0,20.0
106908,2017,99,5,0.73,47.0,64.0,0.0,64.0
106980,2017,1,5,0.55,235.0,433.0,4.0,429.0
106980,2017,2,5,0.3,33.0,110.0,0.0,110.0
106980,2017,99,5,0.5,268.0,543.0,4.0,539.0
106999,2017,1,5,0.61,158.0,261.0,0.0,261.0
106999,2017,2,5,0.19,6.0,32.0,0.0,32.0
106999,2017,99,5,0.56,164.0,293.0,0.0,293.0
107044,2017,1,5,0.83,836.0,1013.0,0.0,1013.0
107044,2017,2,5,0.67,4.0,6.0,0.0,6.0
107044,2017,99,5,0.82,840.0,1019.0,0.0,1019.0
107071,2017,1,5,0.65,478.0,740.0,0.0,740.0
107071,2017,2,5,0.0,0.0,5.0,0.0,5.0
107071,2017,99,5,0.64,478.0,745.0,0.0,745.0
107080,2017,1,5,0.83,291.0,352.0,0.0,352.0
107080,2017,2,5,,,,,
107080,2017,99,5,0.83,291.0,352.0,0.0,352.0
107099,2017,1,5,1.0,3.0,3.0,0.0,3.0
107099,2017,2,5,,,,,
107099,2017,99,5,1.0,3.0,3.0,0.0,3.0
107123,2017,1,5,,,,,
107123,2017,2,5,,,,,
107123,2017,99,5,,0.0,0.0,0.0,0.0
107141,2017,1,5,0.82,265.0,323.0,0.0,323.0
107141,2017,2,5,,,,,
107141,2017,99,5,0.82,265.0,323.0,0.0,323.0
107220,2017,1,5,0.8,105.0,132.0,0.0,132.0
107220,2017,2,5,,,,,
107220,2017,99,5,0.8,105.0,132.0,0.0,132.0
107293,2017,1,5,0.47,7.0,15.0,0.0,15.0
107293,2017,2,5,,,,,
107293,2017,99,5,0.47,7.0,15.0,0.0,15.0
107318,2017,1,5,0.55,78.0,143.0,0.0,143.0
107318,2017,2,5,0.43,21.0,49.0,0.0,49.0
107318,2017,99,5,0.52,99.0,192.0,0.0,192.0
107327,2017,1,5,0.62,132.0,213.0,0.0,213.0
107327,2017,2,5,0.5,32.0,64.0,0.0,64.0
107327,2017,99,5,0.59,164.0,277.0,0.0,277.0
107442,2017,1,5,0.88,7.0,8.0,0.0,8.0
107442,2017,2,5,,,,,
107442,2017,99,5,0.88,7.0,8.0,0.0,8.0
107460,2017,1,5,0.52,208.0,403.0,0.0,403.0
107460,2017,2,5,0.33,19.0,57.0,0.0,57.0
107460,2017,99,5,0.49,227.0,460.0,0.0,460.0
107488,2017,1,5,0.31,58.0,185.0,0.0,185.0
107488,2017,2,5,0.2,1.0,5.0,0.0,5.0
107488,2017,99,5,0.31,59.0,190.0,0.0,190.0
107512,2017,1,5,0.79,311.0,395.0,0.0,395.0
107512,2017,2,5,1.0,1.0,1.0,0.0,1.0
107512,2017,99,5,0.79,312.0,396.0,0.0,396.0
107521,2017,1,5,0.57,71.0,124.0,0.0,124.0
107521,2017,2,5,0.43,13.0,30.0,0.0,30.0
107521,2017,99,5,0.55,84.0,154.0,0.0,154.0
107549,2017,1,5,0.49,83.0,168.0,0.0,168.0
107549,2017,2,5,0.28,11.0,39.0,0.0,39.0
107549,2017,99,5,0.45,94.0,207.0,0.0,207.0
107558,2017,1,5,0.6,113.0,189.0,0.0,189.0
